id;emp_name;emp_age;emp_mobile;emp_birth_date;emp_gender;emp_personal_business;emp_marital_status;emp_experience;emp_nationality
1;expedite Northwest;65401;convergence Vermont Account;2023-06-19;MALE;false;MARRIED;36699;Triathlon/Time
2;Home;92865;SUV white override;2023-06-19;MALE;false;UNMARRIED;63774;Bedfordshire Bicycle
3;architectures meter;516;Rock auxiliary;2023-06-19;FEMALE;true;UNMARRIED;70176;against Toys
4;angry Manager astride;16479;wallet neque;2023-06-19;MALE;true;UNMARRIED;59608;initiative Soul SUV
5;kohlrabi Electronic;75833;payment;2023-06-20;FEMALE;true;UNMARRIED;19752;dromedary
6;Hackett;77032;concern Avon;2023-06-20;MALE;true;UNMARRIED;81105;Unbranded
7;Northwest Personal;72382;interfaces;2023-06-19;FEMALE;false;UNMARRIED;88264;payment Lamborghini
8;Ferrari;77978;face Chips;2023-06-20;MALE;false;UNMARRIED;90705;dignissimos South
9;auxiliary;50906;East maroon;2023-06-19;MALE;false;UNMARRIED;91979;Northeast recycle Luxurious
10;Synchronised;49718;Savings East Extended;2023-06-19;FEMALE;false;UNMARRIED;63271;Chair wireless North
